train/n_updates,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes
1308,-8.084929585456848,8280,0.6588779836893082,4.083026692271233,-1.3963471055030823,63,131,0.0003,40
4020,-15.997371673583984,15060,0.2938278615474701,0.7867715656757355,-3.961558997631073,52,286,0.0003,80
7952,-19.528564453125,24890,0.09220934845507145,0.5684495121240616,-6.989260792732239,52,470,0.0003,120
10968,-19.484570026397705,32430,0.038857828825712204,0.43821922689676285,-8.045912027359009,50,642,0.0003,160
13916,-18.996222019195557,39800,0.017370940651744604,0.6437460333108902,-7.570700287818909,48,813,0.0003,200
16520,-20.00686502456665,46310,0.009198961779475212,0.7833020091056824,-5.819159388542175,47,968,0.0003,240
19916,-19.26588535308838,54800,0.0055720171658322215,0.7463323920965195,1.6752139925956726,46,1170,0.0003,280
23460,-18.000211715698242,63660,0.007183508714661002,0.9646564573049545,0.08563992381095886,45,1405,0.0003,320
26144,-16.648643493652344,70370,0.009409445570781827,1.4341256320476532,1.730620950460434,45,1562,0.0003,360
28644,-16.390518188476562,76620,0.008539712755009532,1.50587859749794,1.0578054785728455,43,1745,0.0003,400
31272,-15.399010181427002,83190,0.008496599039062858,1.3874671161174774,-0.0889117419719696,43,1910,0.0003,440
34744,-14.022817611694336,91870,0.00922253797762096,2.3292853832244873,1.2282594740390778,42,2154,0.0003,480
37788,-12.631879091262817,99480,0.009743791539222002,1.9289610087871552,0.5262261033058167,42,2356,0.0003,520
