rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1864,696,2560,0,9,40,10,60.54400799999712,30.78752235894407,0.08138899555876454,8.138899555876455,1.0,-0.00904454065457685,0.04224642973858863,0.013553638011217117,0.18677710592746735,1864,0.14035331666267056,0.06847287334676073,0.5810374213615943,0.0
2,3910,1210,5120,1,14,80,20,107.99060589999863,36.20685306294823,0.016187009820514624,1.6187009820514615,1.0,-0.00880143161630258,0.05413221176713705,0.009665201418101788,0.14178519565612077,2046,0.2547725973036569,0.14886705477274984,0.45222726849168415,0.0
3,4713,2967,7680,2,20,100,30,128.62532130000181,36.641307888417565,-1.1978954341020447,-119.78954341020446,1.0,-0.010076304379617795,0.030137682054191827,0.015403232537209988,0.17233139909803868,803,0.2505831380577225,0.054715720240841426,0.7830613382741055,0.0
4,6738,3502,10240,2,25,140,40,164.45850950000022,40.97082005963328,-1.027694110466485,-102.76941104664849,1.0,-0.014299627201398834,0.04508565845899284,0.013238096609711647,0.17229158598929645,2025,0.27224934636709613,0.11648324290704397,0.5760533363912528,0.0
5,7714,5086,12800,3,30,160,50,181.0453309000004,42.608113457843295,-1.1920699272566018,-119.20699272566019,1.0,-0.009204257908277214,0.03378750076517463,0.014711352065205574,0.13510573785752059,976,0.17110259966114125,0.056861812931433456,0.6692666723976769,0.0
6,9603,5757,15360,4,40,200,60,200.35535890000028,47.92983852652012,-1.0053380207880322,-100.53380207880323,1.0,-0.010062466784438584,0.02775518470443785,0.01564752496778965,0.19491039495915174,1889,0.1551048834243559,0.05195079185145501,0.7027260582419503,0.0
7,11262,6658,17920,5,50,240,70,216.74215849999746,51.96035731092035,-0.8046430506132887,-80.46430506132887,1.0,-0.016108114260714502,0.019808926177211104,0.018465008586645126,0.17880303589627147,1659,0.3535706405687332,0.04372269824055707,0.8764916039428949,0.0
8,13169,7311,20480,6,60,280,80,235.64991780000128,55.88374535813196,-1.1056525327921507,-110.56525327921509,1.0,-0.011458988190861418,0.05756882382556796,0.01920054294168949,0.14993116734549403,1907,0.5911610274326502,0.129628642719328,0.7853327389187041,0.0
9,14955,8085,23040,6,66,320,90,253.65528800000175,58.95796660860426,-1.0683123198202007,-106.83123198202007,1.0,-0.012747082661371678,0.05536102163605392,0.016741739585995674,0.1673351563513279,1786,0.3695643463155111,0.13645318088412078,0.6641751037293406,0.0
10,15744,9856,25600,6,68,340,100,260.5189156999986,60.43323172022585,-1.1133490078521155,-111.33490078521154,1.0,-0.007906065072165801,0.023663129284977914,0.01755673438310623,0.17489388306858017,789,0.10788787412848753,0.03648722756572924,0.6700451931257259,0.0
