collection,live_transitions,padded_transitions,counted_transitions,replay_size,world_decisions,worlds_completed,aircraft_completed,optimizer_steps,actor_optimizer_steps,entropy_optimizer_steps,gradient_rounds,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,actor_loss,critic_loss,entropy_coefficient
1,1279,1,1280,1279,128,0,1,0,0,0,0,26.92380189999676,47.50443509986433,-0.051465324023701346,-5.146532402370134,1.0,,,0.009999999776482582
2,1870,690,2560,1870,256,0,9,0,0,0,0,30.74289310000313,60.827066402537426,0.08824433214263706,8.824433214263706,1.0,,,0.009999999776482582
3,3114,726,3840,3114,384,1,10,0,0,0,0,38.8629723999984,80.12768472645516,0.06557649591294626,6.557649591294625,1.0,,,0.009999999776482582
4,4046,1074,5120,4046,512,1,14,12,12,12,12,44.79075230000308,90.33114632458901,-0.0009935308955343336,-0.09935308955343405,1.0,0.4498802423477173,0.010413158684968948,0.010035553015768528
5,4463,1937,6400,4463,640,1,19,140,140,140,140,51.4099361999979,86.81201203280587,-1.2144894626748957,-121.44894626748955,1.0,0.2626294493675232,0.0028484573122113943,0.009687276557087898
6,4591,3089,7680,4591,768,1,19,268,268,268,268,56.63496909999958,81.06299116882602,-1.2144894626748957,-121.44894626748955,1.0,0.2572675943374634,0.00040031212847679853,0.009268875233829021
7,5835,3125,8960,5835,896,2,20,396,396,396,396,68.38587869999901,85.32463296402864,-1.1494812239327135,-114.94812239327132,1.0,0.2640557587146759,0.002689783228561282,0.008891003206372261
8,6826,3414,10240,6826,1024,2,25,524,524,524,524,78.50839109999652,86.94612008168262,-1.1214612858948398,-112.14612858948404,1.0,0.26108068227767944,0.0005835334304720163,0.008535806089639664
9,7360,4160,11520,7360,1152,2,28,652,652,652,652,86.14130329999898,85.4410105030311,-1.7228080623269035,-172.2808062326904,1.0,0.261679083108902,0.001999665517359972,0.008203573524951935
10,7767,5033,12800,7767,1280,3,30,780,780,780,780,94.73823930000071,81.98379088938738,-2.0180417465889047,-201.80417465889053,1.0,0.27335381507873535,0.0016168872825801373,0.00788701232522726
11,9047,5033,14080,9047,1408,3,30,908,908,908,908,106.4930641999963,84.95388941959203,-2.0180417465889047,-201.80417465889053,1.0,0.2639545202255249,0.001132310600951314,0.007583401165902615
12,9660,5700,15360,9660,1536,4,40,1036,1036,1036,1036,114.10917640000116,84.65576831557871,-1.4566311201237672,-145.66311201237667,1.0,0.2406160980463028,0.0020673642866313457,0.007295647170394659
13,10940,5700,16640,10940,1664,4,40,1164,1164,1164,1164,125.0249124999973,87.50256073964648,-1.4566311201237672,-145.66311201237667,1.0,0.2377023845911026,0.0011102822609245777,0.0070168511010706425
14,11819,6101,17920,11819,1792,4,46,1292,1292,1292,1292,133.26601800000208,88.68727510114256,-1.314803456865023,-131.4803456865023,1.0,0.2380656898021698,0.0012219309573993087,0.006751589942723513
15,12388,6812,19200,12388,1920,5,50,1420,1420,1420,1420,140.7107468999966,88.03876230437591,-1.2141594809757124,-121.41594809757123,1.0,0.2157902717590332,0.0023189797066152096,0.006497363094240427
16,13668,6812,20480,13668,2048,5,50,1548,1548,1548,1548,151.12427000000025,90.4421242200209,-1.2141594809757124,-121.41594809757123,1.0,0.23401325941085815,0.0011623585596680641,0.006251784972846508
17,14249,7511,21760,14249,2176,5,59,1676,1676,1676,1676,157.91892959999677,90.22984157815803,-1.151220668623549,-115.12206686235493,1.0,0.2498205006122589,0.0010350465308874846,0.006015738472342491
18,15493,7547,23040,15493,2304,6,60,1804,1804,1804,1804,168.5524527000016,91.91797420815493,-1.183821004242963,-118.38210042429634,1.0,0.2350272536277771,0.0014055052306503057,0.00578737910836935
19,16402,7918,24320,16402,2432,6,65,1932,1932,1932,1932,177.3937530999974,92.46097854840549,-1.1574433267277369,-115.74433267277371,1.0,0.26181143522262573,0.001003713347017765,0.005568460561335087
20,17042,8558,25600,17042,2560,6,65,2060,2060,2060,2060,184.84406820000004,92.19662911530746,-1.1574433267277369,-115.74433267277371,1.0,0.2483946532011032,0.0018844304140657187,0.005358926951885223
21,17565,9315,26880,17565,2688,6,66,2188,2188,2188,2188,192.03664769999887,91.46691639525065,-1.1542127752602034,-115.42127752602039,1.0,0.20909014344215393,0.001033102162182331,0.005160030443221331
22,18245,9915,28160,18245,2816,7,70,2316,2316,2316,2316,200.7603453999982,90.87950094750218,-1.1721099693243862,-117.21099693243869,0.9571428571428572,0.21562343835830688,0.002885772380977869,0.004971698857843876
23,19525,9915,29440,19525,2944,7,70,2444,2444,2444,2444,213.66411140000127,91.38174807208115,-1.1721099693243862,-117.21099693243869,0.9571428571428572,0.2043875753879547,0.0008400184451602399,0.004792653489857912
24,20805,9915,30720,20805,3072,7,70,2572,2572,2572,2572,228.38009849999798,91.09813042663252,-1.1721099693243862,-117.21099693243869,0.9571428571428572,0.2417956441640854,0.0007759951404295862,0.004619844723492861
25,21963,10037,32000,21963,3200,7,71,2700,2700,2700,2700,247.35329369999818,88.79202565476152,-1.1503726633812126,-115.03726633812133,0.9577464788732394,0.25594285130500793,0.0014419920044019818,0.0044513242319226265
26,23056,10224,33280,23056,3328,7,72,2828,2828,2828,2828,261.1826371999996,88.27539321591641,-1.1426670299211983,-114.26670299211985,0.9583333333333334,0.2699987292289734,0.0007515075849369168,0.004290593788027763
27,24232,10328,34560,24232,3456,8,80,2956,2956,2956,2956,275.6964642000021,87.89376414498034,-1.5775664161208467,-157.75664161208465,0.8625,0.23725508153438568,0.0011790983844548464,0.004136745352298021
28,25448,10392,35840,25448,3584,8,82,3084,3084,3084,3084,292.23165219999646,87.08160053307294,-1.5836214773224775,-158.36214773224773,0.8658536585365854,0.2414441704750061,0.003981077112257481,0.003986210562288761
29,26176,10944,37120,26176,3712,8,88,3212,3212,3212,3212,300.4273041999986,87.12923104543879,-1.5269131315311752,-152.6913131531175,0.875,0.2483537346124649,0.0012214730959385633,0.003840250428766012
30,26397,12003,38400,26397,3840,9,90,3340,3340,3340,3340,305.8157416000031,86.3166816132258,-1.489816146515089,-148.98161465150886,0.8777777777777778,0.22626835107803345,0.0024987380020320415,0.0037010693922638893
