time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/held_actor_updates,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_updates,train/actor_loss
1300,150,127.0,4,0,-0.051465324023701346,,,,,,,,
1340,164,127.0,8,0,-0.051465324023701346,,,,,,,,
1380,166,127.0,12,0,-0.051465324023701346,,,,,,,,
1410,177,133.5,16,0,0.1613110681525784,,,,,,,,
1430,182,133.5,20,0,0.1613110681525784,,,,,,,,
1450,187,133.5,24,0,0.1613110681525784,,,,,,,,
1470,189,133.5,28,1,0.1613110681525784,,,,,,,,
1490,194,133.5,32,1,0.1613110681525784,,,,,,,,
1510,196,133.5,36,1,0.1613110681525784,,,,,,,,
1530,200,133.5,40,1,0.1613110681525784,,,,,,,,
1550,203,133.5,44,1,0.1613110681525784,,,,,,,,
1570,206,133.5,48,1,0.1613110681525784,,,,,,,,
1590,208,133.5,52,1,0.1613110681525784,,,,,,,,
1610,208,133.5,56,1,0.1613110681525784,,,,,,,,
1630,209,133.5,60,1,0.1613110681525784,,,,,,,,
1650,211,144.0,64,1,0.23223396846442812,,,,,,,,
1660,212,144.0,68,1,0.23223396846442812,,,,,,,,
1670,214,144.0,72,1,0.23223396846442812,,,,,,,,
1680,215,150.0,76,1,0.16130103211599167,,,,,,,,
1690,217,150.0,80,1,0.16130103211599167,,,,,,,,
1700,217,150.0,84,1,0.16130103211599167,,,,,,,,
1710,217,150.0,88,1,0.16130103211599167,,,,,,,,
1720,217,150.0,92,2,0.16130103211599167,,,,,,,,
1730,216,150.0,96,2,0.16130103211599167,,,,,,,,
1740,215,150.0,100,2,0.16130103211599167,,,,,,,,
1750,215,150.0,104,2,0.16130103211599167,,,,,,,,
1760,216,150.0,108,2,0.16130103211599167,,,,,,,,
1770,216,150.0,112,2,0.16130103211599167,,,,,,,,
1780,217,150.0,116,2,0.16130103211599167,,,,,,,,
1790,218,150.0,120,2,0.16130103211599167,,,,,,,,
1800,219,150.0,124,2,0.16130103211599167,,,,,,,,
1810,220,150.0,128,2,0.16130103211599167,,,,,,,,
