waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,635.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.146532402370134
1.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,37.408746032885816
1.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40797690881275
1.0,836.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.149777692931764
1.0,914.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.29415011446463
1.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33860584763464
1.0,978.0,1.0,62.0,0.0,0.0,0.0,0.0,-21.24337051939382
1.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32558056077839
1.0,1177.0,0.0,0.0,1.0,7.0,0.0,0.0,33.77282030742211
1.0,1296.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.843403015427107
1.0,678.0,1.0,44.0,0.0,0.0,0.0,0.0,-4.201689079324758
1.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,37.375818931150675
1.0,819.0,1.0,19.0,0.0,0.0,0.0,0.0,19.4394060351257
1.0,985.0,3.0,166.0,0.0,0.0,0.0,0.0,-119.58097505364594
1.0,1308.0,1.0,67.0,0.0,0.0,0.0,0.0,-26.112668981081555
1.0,1512.0,4.0,1125.0,0.0,0.0,0.0,0.0,-1026.7615410574301
1.0,1586.0,5.0,277.0,0.0,0.0,0.0,0.0,-224.8092568475957
1.0,1645.0,2.0,122.0,0.0,0.0,0.0,0.0,-78.2390912996118
1.0,1681.0,2.0,1044.0,0.0,0.0,0.0,0.0,-950.2164776428343
1.0,2557.0,1.0,30.0,0.0,0.0,0.0,0.0,8.567531216874936
1.0,751.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.925947679613984
1.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,37.351192338083315
1.0,967.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.600154651657895
1.0,1106.0,3.0,380.0,0.0,0.0,0.0,0.0,-322.0593077798627
1.0,1178.0,1.0,245.0,0.0,0.0,0.0,0.0,-194.45654909862228
1.0,1643.0,2.0,702.0,0.0,0.0,0.0,0.0,-626.6940859159541
1.0,1659.0,2.0,696.0,0.0,0.0,0.0,0.0,-621.0950774418186
1.0,1861.0,2.0,856.0,0.0,0.0,0.0,0.0,-772.4201964204572
1.0,2438.0,2.0,843.0,0.0,0.0,0.0,0.0,-760.2917817106056
1.0,2444.0,8.0,536.0,0.0,0.0,0.0,0.0,-469.9708835407793
1.0,743.0,2.0,77.0,0.0,0.0,0.0,0.0,-35.45806996349806
1.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37403933692668
1.0,838.0,1.0,26.0,0.0,0.0,0.0,0.0,12.74696262126572
1.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36140932094225
1.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,37.304721002971355
1.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,37.335518052945176
1.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32267972570002
1.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,37.303192010136236
1.0,1200.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.963755220749327
1.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27406238500723
1.0,742.0,2.0,126.0,0.0,0.0,0.0,0.0,-81.80397988299015
1.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3451263090395
1.0,1061.0,2.0,109.0,0.0,0.0,0.0,0.0,-65.77645755249182
1.0,1085.0,1.0,62.0,0.0,0.0,0.0,0.0,-21.356595117284748
1.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,37.28877385531224
1.0,1290.0,3.0,174.0,0.0,0.0,0.0,0.0,-127.268288695624
1.0,1458.0,2.0,123.0,0.0,0.0,0.0,0.0,-79.13317754927081
1.0,1665.0,0.0,0.0,1.0,30.0,0.0,0.0,22.172915889493506
1.0,1839.0,0.0,0.0,1.0,33.0,0.0,0.0,20.617940142023404
1.0,1848.0,0.0,0.0,2.0,47.0,0.0,0.0,13.640818218298925
1.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34937866447311
1.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36405706883947
1.0,879.0,1.0,368.0,0.0,0.0,0.0,0.0,-310.6602038941873
1.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31436083516178
1.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2965067962159
1.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27242605892268
1.0,1157.0,1.0,375.0,0.0,0.0,0.0,0.0,-317.3427667675411
1.0,1272.0,1.0,375.0,0.0,0.0,0.0,0.0,-317.3197294637598
1.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,37.321430701497896
1.0,1444.0,1.0,368.0,0.0,0.0,0.0,0.0,-310.7240805788395
1.0,790.0,3.0,420.0,0.0,0.0,0.0,0.0,-359.84352515323343
1.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35851279246926
1.0,806.0,3.0,171.0,0.0,0.0,0.0,0.0,-124.38761723431358
1.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333725533388616
1.0,1033.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.916694210821802
1.0,1951.0,1.0,139.0,0.0,0.0,0.0,0.0,-94.42269298705438
1.0,2759.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.8824322832268194
0.0,3000.0,4.0,563.0,0.0,0.0,0.0,0.0,-533.2171150623145
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8670209044147715
0.0,3000.0,1.0,51.0,0.0,0.0,0.0,0.0,-48.998900303405854
1.0,1486.0,0.0,0.0,0.0,0.0,0.0,0.0,37.12387526409355
1.0,2441.0,2.0,102.0,0.0,0.0,0.0,0.0,-59.55670542601541
0.0,3000.0,5.0,1020.0,0.0,0.0,0.0,0.0,-965.3593109943777
0.0,3000.0,2.0,705.0,0.0,0.0,0.0,0.0,-667.6122374889682
0.0,3000.0,4.0,215.0,0.0,0.0,0.0,0.0,-204.39870762280634
0.0,3000.0,4.0,220.0,0.0,0.0,0.0,0.0,-209.03759798896945
0.0,3000.0,3.0,174.0,0.0,0.0,0.0,0.0,-165.3044655989865
0.0,3000.0,5.0,308.0,0.0,0.0,0.0,0.0,-292.1310200443638
0.0,3000.0,8.0,1749.0,0.0,0.0,0.0,0.0,-1654.9010581144946
0.0,3000.0,5.0,247.0,0.0,0.0,0.0,0.0,-234.5843156811785
1.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,37.30798148917809
1.0,914.0,2.0,465.0,0.0,0.0,0.0,0.0,-402.472766566722
1.0,1181.0,1.0,386.0,0.0,0.0,0.0,0.0,-327.7261423967161
1.0,1275.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.513502640807744
1.0,1376.0,1.0,36.0,0.0,0.0,0.0,0.0,3.1520587590480673
1.0,1475.0,1.0,28.0,0.0,0.0,0.0,0.0,10.664767377055327
1.0,1513.0,3.0,175.0,0.0,0.0,0.0,0.0,-128.3367021897407
1.0,1646.0,1.0,28.0,0.0,0.0,0.0,0.0,10.620077661137422
1.0,1716.0,0.0,0.0,1.0,49.0,0.0,0.0,12.541091567016181
1.0,2252.0,0.0,0.0,1.0,42.0,0.0,0.0,15.949147271525195
1.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34712198848539
1.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31895365671557
1.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25931820575102
1.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29405301343022
1.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17514523189906
1.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,37.181972038760144
1.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23182769777334
1.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,37.21386264716218
1.0,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,37.02906759693039
1.0,2185.0,0.0,0.0,0.0,0.0,0.0,0.0,36.942171416152554
1.0,756.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.171652205982717
1.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,37.334890746690554
1.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,37.263539769024945
1.0,996.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.202912462890772
1.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3068139773669
1.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,37.197056663958655
1.0,1701.0,1.0,771.0,0.0,0.0,0.0,0.0,-692.0187473287003
1.0,1828.0,1.0,62.0,1.0,73.0,0.0,0.0,-58.08929433297971
1.0,1942.0,1.0,62.0,0.0,0.0,0.0,0.0,-21.614141705246354
1.0,2016.0,1.0,771.0,0.0,0.0,0.0,0.0,-692.1363207909319
1.0,914.0,1.0,95.0,0.0,0.0,0.0,0.0,-52.551805856554736
1.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,37.283551657290346
1.0,1189.0,1.0,78.0,0.0,0.0,0.0,0.0,-36.55592998618015
1.0,1201.0,1.0,72.0,0.0,0.0,0.0,0.0,-30.79588336375987
1.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24352350902716
1.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,37.237970970554834
1.0,1355.0,1.0,78.0,0.0,0.0,0.0,0.0,-36.59447765253127
1.0,1409.0,2.0,218.0,0.0,0.0,0.0,0.0,-169.03623304153706
1.0,1911.0,2.0,241.0,0.0,0.0,0.0,0.0,-190.88556526215285
0.0,3000.0,0.0,0.0,2.0,139.0,0.0,0.0,-70.36021739275917
1.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362002752381734
1.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,37.342222458373556
1.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32789667856548
1.0,1203.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.922147839374198
1.0,1220.0,1.0,82.0,0.0,0.0,0.0,0.0,-40.257620851734664
1.0,1287.0,1.0,64.0,0.0,0.0,0.0,0.0,-23.357133993124144
1.0,1307.0,1.0,82.0,0.0,0.0,0.0,0.0,-40.279562300455254
1.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,37.090691243294046
1.0,1812.0,1.0,64.0,0.0,0.0,0.0,0.0,-23.444866831682063
0.0,3000.0,1.0,51.0,1.0,1.0,0.0,0.0,-49.68383608891565
1.0,1301.0,1.0,157.0,0.0,0.0,0.0,0.0,-111.22811485092296
1.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24353311973971
1.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24522102267202
1.0,1493.0,1.0,34.0,0.0,0.0,0.0,0.0,5.0571775176960045
1.0,1764.0,1.0,1017.0,0.0,0.0,0.0,0.0,-924.7203978663374
1.0,1796.0,1.0,1017.0,0.0,0.0,0.0,0.0,-924.7686586386237
1.0,2410.0,0.0,0.0,0.0,0.0,0.0,0.0,36.96027989274035
1.0,2690.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.984344766129325
0.0,3000.0,3.0,250.0,0.0,0.0,0.0,0.0,-237.3584397251022
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5840177250103195
1.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31098056972218
1.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3013514115613
1.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29471048552215
1.0,1210.0,1.0,185.0,0.0,0.0,0.0,0.0,-137.74084216472536
1.0,1351.0,1.0,185.0,0.0,0.0,0.0,0.0,-137.7280886888747
1.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,37.192282491714316
1.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,37.06901255771749
1.0,2182.0,1.0,140.0,0.0,0.0,0.0,0.0,-95.41892499080225
0.0,3000.0,2.0,205.0,0.0,0.0,0.0,0.0,-194.71123759475867
0.0,3000.0,1.0,65.0,0.0,0.0,0.0,0.0,-62.30133159361051
1.0,957.0,2.0,350.0,0.0,0.0,0.0,0.0,-293.7197536582491
1.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2912533227622
1.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,37.28443470099966
1.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25453846393496
1.0,1414.0,2.0,675.0,0.0,0.0,0.0,0.0,-601.1597110240149
1.0,1413.0,1.0,413.0,0.0,0.0,0.0,0.0,-353.2959145981635
1.0,1593.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1577524334524
1.0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,37.13157213356189
1.0,1666.0,1.0,88.0,0.0,0.0,0.0,0.0,-46.1267844085795
1.0,2175.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9823920026555
1.0,1037.0,3.0,81.0,0.0,0.0,0.0,0.0,-39.303965403397754
1.0,1235.0,2.0,179.0,0.0,0.0,0.0,0.0,-132.07124277956848
1.0,1235.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.765771658931477
1.0,1308.0,1.0,44.0,1.0,22.0,0.0,0.0,-15.363882671285758
1.0,1336.0,2.0,70.0,1.0,2.0,0.0,0.0,-29.94824008207099
1.0,1398.0,3.0,205.0,0.0,0.0,0.0,0.0,-156.6368951010524
1.0,1447.0,3.0,108.0,0.0,0.0,0.0,0.0,-65.01922784660728
1.0,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,37.20673313716157
1.0,1835.0,1.0,26.0,0.0,0.0,0.0,0.0,12.54830293318458
1.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,37.114308959701525
1.0,992.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.50721909803226
1.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27360137481327
1.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23359116362913
1.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,37.137294158580985
1.0,1452.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2041004878588
1.0,1621.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.43751957211653
1.0,1788.0,0.0,0.0,0.0,0.0,0.0,0.0,37.20039826965581
