completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-5.146532402370134,-5.146532402370134,-0.051465324023701346,0.0
1,37.408746032885816,37.408746032885816,0.37408746032885815,0.0
2,37.40797690881275,37.40797690881275,0.3740797690881275,0.0
3,-5.149777692931764,-5.149777692931764,-0.05149777692931764,0.0
4,-72.29415011446463,-72.29415011446463,-0.7229415011446463,0.0
5,37.33860584763464,37.33860584763464,0.3733860584763464,0.0
6,-21.24337051939382,-21.24337051939382,-0.21243370519393823,0.0
7,37.32558056077839,37.32558056077839,0.37325580560778393,0.0
8,33.77282030742211,33.77282030742211,0.3377282030742211,0.0
9,-13.843403015427107,-13.843403015427107,-0.13843403015427108,0.0
10,-4.201689079324758,-4.201689079324758,-0.04201689079324759,0.0
11,37.375818931150675,37.375818931150675,0.3737581893115068,0.0
12,19.4394060351257,19.4394060351257,0.194394060351257,0.0
13,-119.58097505364594,-119.58097505364596,-1.1958097505364595,-1.4210854715202004e-14
14,-26.112668981081555,-26.112668981081555,-0.26112668981081555,0.0
15,-1026.7615410574301,-1026.7615410574301,-10.267615410574301,0.0
16,-224.8092568475957,-224.80925684759572,-2.248092568475957,-2.842170943040401e-14
17,-78.2390912996118,-78.2390912996118,-0.7823909129961181,0.0
18,-950.2164776428343,-950.2164776428342,-9.502164776428343,1.1368683772161603e-13
19,8.567531216874936,8.567531216874936,0.08567531216874937,0.0
20,-9.925947679613984,-9.925947679613984,-0.09925947679613983,0.0
21,37.351192338083315,37.351192338083315,0.37351192338083317,0.0
22,-15.600154651657895,-15.600154651657895,-0.15600154651657896,0.0
23,-322.0593077798627,-322.0593077798627,-3.220593077798627,0.0
24,-194.45654909862228,-194.45654909862228,-1.9445654909862229,0.0
25,-626.6940859159541,-626.6940859159541,-6.266940859159542,0.0
26,-621.0950774418186,-621.0950774418186,-6.210950774418186,0.0
27,-772.4201964204572,-772.4201964204572,-7.724201964204572,0.0
28,-760.2917817106056,-760.2917817106056,-7.602917817106056,0.0
29,-469.9708835407793,-469.9708835407793,-4.699708835407793,0.0
30,-35.45806996349806,-35.45806996349806,-0.3545806996349806,0.0
31,37.37403933692668,37.37403933692668,0.3737403933692668,0.0
32,12.74696262126572,12.74696262126572,0.1274696262126572,0.0
33,37.36140932094225,37.36140932094225,0.3736140932094225,0.0
34,37.304721002971355,37.304721002971355,0.3730472100297136,0.0
35,37.335518052945176,37.335518052945176,0.37335518052945177,0.0
36,37.32267972570002,37.32267972570002,0.3732267972570002,0.0
37,37.303192010136236,37.303192010136236,0.3730319201013624,0.0
38,-10.963755220749327,-10.963755220749327,-0.10963755220749327,0.0
39,37.27406238500723,37.27406238500723,0.3727406238500723,0.0
40,-81.80397988299015,-81.80397988299015,-0.8180397988299015,0.0
41,37.3451263090395,37.3451263090395,0.373451263090395,0.0
42,-65.77645755249182,-65.77645755249182,-0.6577645755249182,0.0
43,-21.356595117284748,-21.356595117284748,-0.2135659511728475,0.0
44,37.28877385531224,37.28877385531224,0.37288773855312246,0.0
45,-127.268288695624,-127.26828869562398,-1.2726828869562399,1.4210854715202004e-14
46,-79.13317754927081,-79.13317754927081,-0.7913317754927082,0.0
47,22.172915889493506,22.172915889493506,0.22172915889493505,0.0
48,20.617940142023404,20.617940142023404,0.20617940142023405,0.0
49,13.640818218298925,13.640818218298925,0.13640818218298925,0.0
50,37.34937866447311,37.34937866447311,0.3734937866447311,0.0
51,37.36405706883947,37.36405706883947,0.37364057068839474,0.0
52,-310.6602038941873,-310.6602038941873,-3.106602038941873,0.0
53,37.31436083516178,37.31436083516178,0.3731436083516178,0.0
54,37.2965067962159,37.2965067962159,0.372965067962159,0.0
55,37.27242605892268,37.27242605892268,0.37272426058922686,0.0
