time/total_timesteps,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss
424,3,120,4,,,,,,
924,7,123,8,,,,,,
1352,11,122,12,,,,,,
1692,13,121,16,,,,,,
2132,17,121,20,,,,,,
2480,20,122,24,,,,,,
2864,23,121,28,,,,,,
3284,26,122,32,,,,,,
3712,30,122,36,,,,,,
4240,34,123,40,,,,,,
4600,37,122,44,,,,,,
5044,41,122,48,0.9973037838935852,10,27.772611618041992,0.0003,-1.1102378368377686,-0.009081732481718063
5512,46,119,52,0.962891697883606,127,22.937122344970703,0.0003,0.09205948561429977,-0.1274074912071228
5948,51,116,56,0.9319273233413696,236,19.054275512695312,0.0003,0.8844582438468933,-0.23765060305595398
6408,56,113,60,0.9004049301147461,351,22.778953552246094,0.0003,1.5402307510375977,-0.35211026668548584
6928,62,111,64,0.8660666942596436,481,26.245384216308594,0.0003,1.6782476902008057,-0.47747424244880676
7456,68,109,68,0.8326418995857239,613,20.385086059570312,0.0003,3.146801710128784,-0.6021236777305603
7948,73,108,72,0.8027286529541016,736,14.125925064086914,0.0003,3.8861804008483887,-0.7196292877197266
8408,78,106,76,0.7757149338722229,851,13.744173049926758,0.0003,5.2767133712768555,-0.8289535045623779
9004,85,105,80,0.7424905896186829,1000,20.787641525268555,0.0003,5.989892482757568,-0.9697417616844177
9584,91,104,84,0.7116455435752869,1145,12.311002731323242,0.0003,7.208683967590332,-1.0835213661193848
10088,98,102,88,0.6860652565956116,1271,19.34621810913086,0.0003,7.24167537689209,-1.2191040515899658
10648,104,102,92,0.6590302586555481,1411,17.836227416992188,0.0003,8.435102462768555,-1.3031812906265259
11468,114,99,96,0.6215070486068726,1616,23.682353973388672,0.0003,11.146283149719238,-1.4797090291976929
12520,151,82,100,0.5772346258163452,1879,27.88897705078125,0.0003,13.14016342163086,-1.5751131772994995
13192,164,80,104,0.5512152314186096,2047,22.722393035888672,0.0003,12.899660110473633,-1.6835366487503052
13796,176,77,108,0.5290841460227966,2198,29.740942001342773,0.0003,12.885086059570312,-1.7384920120239258
14596,192,75,112,0.5012300610542297,2398,32.34663772583008,0.0003,13.75798225402832,-1.8709439039230347
15416,209,73,116,0.47458770871162415,2603,25.285972595214844,0.0003,17.0036678314209,-1.9260501861572266
16024,226,70,120,0.45573437213897705,2755,37.85143280029297,0.0003,19.900144577026367,-2.007305860519409
16780,240,69,124,0.43313533067703247,2944,31.742828369140625,0.0003,21.731037139892578,-2.0761473178863525
17512,254,68,128,0.41247862577438354,3127,27.289226531982422,0.0003,24.07233428955078,-2.2732033729553223
18404,272,67,132,0.38831934332847595,3350,34.150901794433594,0.0003,24.926485061645508,-2.4483416080474854
18920,292,64,136,0.3748989701271057,3479,31.095054626464844,0.0003,22.759918212890625,-2.357661485671997
19652,307,64,140,0.35642290115356445,3662,42.32073211669922,0.0003,29.943161010742188,-2.334007978439331
20360,325,62,144,0.33927130699157715,3839,33.02117156982422,0.0003,32.08788299560547,-2.5187461376190186
20856,337,61,148,0.3279150128364563,3963,68.74441528320312,0.0003,30.696781158447266,-2.7902228832244873
21360,345,61,152,0.31675997376441956,4089,46.171409606933594,0.0003,34.257572174072266,-2.6711158752441406
22204,362,61,156,0.2992466688156128,4300,51.36090850830078,0.0003,36.37485885620117,-2.523094892501831
23052,377,61,160,0.28276658058166504,4512,39.11053466796875,0.0003,36.498573303222656,-2.8432161808013916
23600,386,61,164,0.2725415825843811,4649,82.29598236083984,0.0003,37.791053771972656,-2.8362879753112793
24316,399,60,168,0.26009708642959595,4828,49.306453704833984,0.0003,41.51771926879883,-2.392287015914917
24876,408,60,172,0.25077250599861145,4968,80.39717102050781,0.0003,44.21302795410156,-2.5698773860931396
25388,418,60,176,0.24257928133010864,5096,59.48646545410156,0.0003,45.39997100830078,-2.7373859882354736
26308,435,60,180,0.22879751026630402,5326,64.1680679321289,0.0003,52.467628479003906,-2.4951331615448
26588,441,60,184,0.22473494708538055,5396,66.71833801269531,0.0003,47.285186767578125,-2.9548537731170654
27024,451,59,188,0.21872419118881226,5505,61.15174865722656,0.0003,46.408164978027344,-2.612081527709961
27568,461,59,192,0.21135194599628448,5641,85.75265502929688,0.0003,49.962799072265625,-2.773623466491699
28188,474,59,196,0.2032371312379837,5796,55.86080551147461,0.0003,54.273109436035156,-3.0188846588134766
28948,488,59,200,0.1938439905643463,5986,89.42738342285156,0.0003,57.4127197265625,-3.0709714889526367
29512,499,59,204,0.18734563887119293,6127,83.63172149658203,0.0003,53.681819915771484,-2.3406271934509277
29952,506,59,208,0.18250936269760132,6237,68.63651275634766,0.0003,59.75166320800781,-2.62280011177063
30740,521,58,212,0.17417825758457184,6434,89.91885375976562,0.0003,64.51881408691406,-2.4748573303222656
31132,529,58,216,0.17014916241168976,6532,57.689029693603516,0.0003,59.19657516479492,-2.657957077026367
31808,542,58,220,0.16348084807395935,6701,60.73876953125,0.0003,63.33710861206055,-2.421325445175171
32420,553,58,224,0.1575099527835846,6854,74.04944610595703,0.0003,64.7222671508789,-2.844097852706909
32796,558,58,228,0.1540554165840149,6948,57.72809600830078,0.0003,67.433837890625,-2.9534149169921875
33676,575,58,232,0.1463223546743393,7168,115.7100830078125,0.0003,74.5466537475586,-1.6649861335754395
34008,585,58,236,0.14369553327560425,7251,71.62953186035156,0.0003,72.99916076660156,-2.4621541500091553
34612,605,57,240,0.13884325325489044,7402,88.62306213378906,0.0003,73.3330078125,-1.9231314659118652
35140,618,56,244,0.1349123865365982,7534,61.504676818847656,0.0003,76.54305267333984,-2.3935325145721436
35616,631,56,248,0.13135923445224762,7653,107.22622680664062,0.0003,71.51654052734375,-2.65103816986084
36008,641,56,252,0.12862363457679749,7751,93.12184143066406,0.0003,82.81178283691406,-2.564307451248169
36804,660,55,256,0.12336806952953339,7950,80.75715637207031,0.0003,86.77100372314453,-1.8103264570236206
37300,668,55,260,0.12016475945711136,8074,96.470458984375,0.0003,79.33760070800781,-1.9667420387268066
37812,676,55,264,0.11704925447702408,8202,74.70030212402344,0.0003,83.27958679199219,-1.1790755987167358
38268,683,55,268,0.11432745307683945,8316,114.1265869140625,0.0003,81.48112487792969,-1.6415756940841675
38764,691,56,272,0.11182507127523422,8440,90.8228530883789,0.0003,82.39237976074219,-2.03548526763916
39188,698,56,276,0.10937023162841797,8546,149.69894409179688,0.0003,80.31793975830078,0.05959225818514824
39732,707,56,280,0.10658152401447296,8682,72.89012908935547,0.0003,94.04623413085938,-1.5174931287765503
40364,720,56,284,0.10329878330230713,8840,73.49109649658203,0.0003,86.80878448486328,-1.5405091047286987
40768,727,56,288,0.10131865739822388,8941,114.07756805419922,0.0003,86.76502990722656,-2.3000099658966064
41296,736,56,292,0.09872547537088394,9073,83.48176574707031,0.0003,86.60971069335938,-1.8499118089675903
41740,744,56,296,0.09667059034109116,9184,109.25970458984375,0.0003,91.75746154785156,-1.2844916582107544
42228,753,56,300,0.09481756389141083,9306,85.78585052490234,0.0003,90.7044448852539,-1.3669663667678833
42748,763,56,304,0.09267357736825943,9436,95.40968322753906,0.0003,91.73778533935547,-0.6014063954353333
43088,769,55,308,0.0913560688495636,9521,155.34854125976562,0.0003,93.89691162109375,-2.038928508758545
43696,781,55,312,0.08855190128087997,9673,241.37490844726562,0.0003,95.56144714355469,-1.0762982368469238
44076,788,55,316,0.08709538727998734,9768,175.3583984375,0.0003,100.34944915771484,-1.4352754354476929
44540,796,55,320,0.08549648523330688,9884,95.27729797363281,0.0003,104.24812316894531,-1.6627942323684692
44892,802,55,324,0.08416791260242462,9972,136.31988525390625,0.0003,103.87153625488281,-1.0516384840011597
45596,812,56,328,0.08146370947360992,10148,255.33407592773438,0.0003,112.4964599609375,-0.48477357625961304
46028,818,56,332,0.08026488870382309,10256,83.33367156982422,0.0003,104.54742431640625,-1.6238476037979126
46708,829,56,336,0.07816444337368011,10426,78.52494812011719,0.0003,101.57437896728516,-0.7716091275215149
47144,835,56,340,0.07692926377058029,10535,176.04037475585938,0.0003,122.75727081298828,-0.8804599046707153
47752,844,56,344,0.07556620985269547,10687,167.6366424560547,0.0003,108.9655532836914,-0.8234944343566895
48296,853,56,348,0.07420331984758377,10823,82.62230682373047,0.0003,113.9946517944336,0.07752600312232971
48580,858,56,352,0.0735454186797142,10894,151.7938232421875,0.0003,116.4516830444336,-1.0131433010101318
49192,867,56,356,0.07237772643566132,11047,112.76197814941406,0.0003,112.93218231201172,-0.14454378187656403
49672,874,56,360,0.0720864087343216,11167,173.4300537109375,0.0003,115.64151000976562,-0.768502950668335
